Field Name,Description,Type,Specifications,Default,Required,Unique,Key
scope_id,A unique identifier representing the scope entity,Character,9 numeric characters,,Yes,No,FK
access_token_id,A unique identifier representing the access token,Character,9 numeric characters,,Yes,No,FK
