Field Name,Description,Type,Specifications,Default,Required,Unique
organization_id,Unique Organisation identification number,UUID,"128-bits, 36 characters (with dashes)",,Yes,Yes
attribute_name,Name of the organisation attribute,Character,variable length,,Yes,No
attribute_value,Value of the organisation attribute value,Character,variable length,,Yes,No
