Field Name,Description,Type,Specifications,Default,Required,Unique
user_id,Unique User identification number,UUID,"128-bits, 36 characters (with dashes)",,Yes,Yes
attribute_name,Name of the user attribute,Character,variable length,,Yes,No
attribute_value,Value of the user attribute,Character,variable length,,Yes,No

