Field Name,Description,Type,Specifications,Default,Required,Unique
asset_id,Unique Asset identification number,UUID,"128-bits, 36 characters (with dashes)",,Yes,Yes 
asset_type,asset_type attribute of the entity,Character,variable length,,No,No
asset_name,asset_name attribute of the entity,Character,variable length,,No,No
asset_description,asset_description attribute of the entity,Character,variable length,,No,No
